x_m,y_m,width_left_m,width_right_m,vx_mps
-50.2027392,14.9419324,1.5278,0.5,13.9724034
-50.2490791,15.0305483,1.5286331,0.5069088,13.9823122
-50.2953669,15.1191912,1.5294663,0.5138175,13.9921743
-50.3416032,15.2078605,1.5302994,0.5207263,14.00199
-50.387789,15.2965559,1.5311325,0.527635,14.0117594
-50.4339249,15.385277,1.5319657,0.5345438,14.021483
-50.4800118,15.4740232,1.5327988,0.5414525,14.0311608
-50.5260505,15.5627942,1.5336319,0.5483613,14.0407932
-50.5720416,15.6515895,1.5344651,0.55527,14.0503803
-50.6179861,15.7404087,1.5352982,0.5621788,14.0599226
-50.6638848,15.8292514,1.5361313,0.5690876,14.0694201
-50.7097392,15.918119,1.5376098,0.5668357,14.0788731
-50.7555496,16.0070091,1.5390922,0.5645294,14.088282
-50.8013168,16.0959212,1.5405746,0.562223,14.0976469
-50.8470419,16.1848548,1.5420569,0.5599167,14.106968
-50.8927259,16.2738094,1.5435393,0.5576103,14.1162456
-50.9383697,16.3627843,1.5450216,0.555304,14.12548
-50.9839744,16.4517792,1.546504,0.5529976,14.1346713
-51.0295409,16.5407935,1.5479864,0.5506913,14.1438198
-51.0750702,16.6298266,1.5494687,0.5483849,14.1529258
-51.1205634,16.7188781,1.5509511,0.5460786,14.1619894
-51.166022,16.8079484,1.5503694,0.5492275,14.1710109
-51.2114463,16.897036,1.549763,0.5524418,14.1799905
-51.2568375,16.9861404,1.5491566,0.5556561,14.1889285
-51.3021966,17.0752611,1.5485502,0.5588703,14.197825
-51.3475244,17.1643975,1.5479438,0.5620846,14.2066803
-51.3928221,17.2535493,1.5473374,0.5652989,14.2154946
-51.4380906,17.3427158,1.546731,0.5685132,14.2242681
-51.4833309,17.4318966,1.5461246,0.5717274,14.233001
-51.528544,17.5210911,1.5455182,0.5749417,14.2416936
-51.573731,17.6102988,1.5449118,0.578156,14.2503461
-51.6188928,17.6995194,1.5444693,0.5767637,14.2589587
-51.6640305,17.7887523,1.5440298,0.5752882,14.2675315
-51.709145,17.8779969,1.5435903,0.5738127,14.2760648
-51.7542373,17.9672527,1.5431509,0.5723372,14.2845589
-51.7993084,18.0565192,1.5427114,0.5708616,14.2930138
-51.8443594,18.1457959,1.5422719,0.5693861,14.3014299
-51.8893911,18.2350824,1.5418324,0.5679106,14.3098073
-51.9344047,18.3243781,1.5413929,0.5664351,14.3181463
-51.9794011,18.4136825,1.5409534,0.5649595,14.3264469
-52.0243813,18.5029951,1.5405139,0.563484,14.3347095
-52.069346,18.5923148,1.5402336,0.5700346,14.3429343
-52.1142965,18.6816417,1.5399573,0.5767798,14.3511213
-52.1592339,18.7709754,1.5396809,0.583525,14.3592709
-52.2041591,18.8603153,1.5394045,0.5902702,14.3673832
-52.2490731,18.9496609,1.5391281,0.5970154,14.3754584
-52.2939769,19.0390118,1.5388518,0.6037606,14.3834968
-52.3388716,19.1283674,1.5385754,0.6105058,14.3914984
-52.3837581,19.2177273,1.538299,0.617251,14.3994635
-52.4286374,19.3070909,1.5380226,0.6239962,14.4073923
-52.4735105,19.3964577,1.5377463,0.6307413,14.4152849
-52.5183778,19.485826,1.5351386,0.6275194,14.4231416
-52.5632409,19.5751966,1.5324599,0.6239937,14.4309626
-52.6081009,19.664569,1.5297812,0.6204679,14.4387479
-52.6529587,19.7539427,1.5271025,0.6169421,14.4464979
-52.6978153,19.8433171,1.5244237,0.6134164,14.4542126
-52.7426718,19.9326919,1.521745,0.6098906,14.4618924
-52.787529,20.0220664,1.5190663,0.6063648,14.4695372
-52.8323881,20.1114402,1.5163876,0.602839,14.4771474
-52.8772501,20.2008129,1.5137089,0.5993133,14.4847231
-52.9221157,20.2901836,1.5110301,0.5957875,14.4922645
-52.9669854,20.3795505,1.5096965,0.6001499,14.4997717
-53.0118608,20.4689148,1.5084124,0.6048026,14.507245
-53.0567431,20.5582758,1.5071282,0.6094553,14.5146845
-53.1016332,20.6476332,1.5058441,0.614108,14.5220903
-53.1465321,20.7369864,1.50456,0.6187608,14.5294627
-53.1914408,20.8263349,1.5032758,0.6234135,14.5368018
-53.2363604,20.9156782,1.5019917,0.6280662,14.5441078
-53.2812917,21.0050159,1.5007076,0.6327189,14.5513808
-53.3262358,21.0943475,1.4994235,0.6373717,14.5586211
-53.3711936,21.1836721,1.4981393,0.6420244,14.5658287
-53.4161652,21.2729876,1.4945824,0.6414152,14.5730039
-53.4611526,21.3622954,1.4909272,0.6405787,14.5801468
-53.5061568,21.451595,1.4872721,0.6397422,14.5872576
-53.5511787,21.540886,1.483617,0.6389057,14.5943364
-53.5962195,21.6301678,1.4799618,0.6380691,14.6013834
