s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,4.2910614,3.0480893,3.8427519,0.3500000,0.6500000
0.0997636,4.3217765,3.1434713,3.8350563,0.3744711,0.6255289
0.1995271,4.3453116,3.2400665,3.8608923,0.3989423,0.6010577
0.2992907,4.3627869,3.3377092,3.9224294,0.4234134,0.5765866
0.3990542,4.3753227,3.4362339,4.0192355,0.4478845,0.5521155
0.4988178,4.3840390,3.5354750,4.1409070,0.4723557,0.5276443
0.5985813,4.3900562,3.6352669,4.2586377,0.4968268,0.5031732
0.6983449,4.3944943,3.7354441,4.3727478,0.5212979,0.4787021
0.7981085,4.3984573,3.8351978,4.2278289,0.5432109,0.4567891
0.8978720,4.4032247,3.9344954,4.0174482,0.5574495,0.4425505
0.9976356,4.4102039,4.0335627,3.8436096,0.5716880,0.4283120
1.0973991,4.4207876,4.1321611,3.7055936,0.5859266,0.4140734
1.1971627,4.4363685,4.2300519,3.6033459,0.6001651,0.3998349
1.2969262,4.4583394,4.3269963,3.5358249,0.6144036,0.3855964
1.3966898,4.4880930,4.4227558,3.4986819,0.6286422,0.3713578
1.4964533,4.5267912,4.5166006,3.4776541,0.6428807,0.3571193
1.5962169,4.5721357,4.6028220,3.4619384,0.6500000,0.3500000
1.6959805,4.6258634,4.6862663,3.4201013,0.6500000,0.3500000
1.7957440,4.6873208,4.7656815,3.3594397,0.6500000,0.3500000
1.8955076,4.7558543,4.8398152,3.2866860,0.6500000,0.3500000
1.9952711,4.8308104,4.9074153,3.2140016,0.6500000,0.3500000
2.0950347,4.9115357,4.9672296,3.1533583,0.6500000,0.3500000
2.1947982,4.9973765,5.0180057,3.1150779,0.6500000,0.3500000
2.2945618,5.0877359,5.0585130,3.1088645,0.6500000,0.3500000
2.3943254,5.1838713,5.0882674,3.1026387,0.6500000,0.3500000
2.4940889,5.2826720,5.1064182,3.1178678,0.6500000,0.3500000
2.5938525,5.3828406,5.1133757,3.1480386,0.6500000,0.3500000
2.6936160,5.4830795,5.1095503,3.1860584,0.6500000,0.3500000
2.7933796,5.5820913,5.0953524,3.2250030,0.6500000,0.3500000
2.8931431,5.6785785,5.0711923,3.2583567,0.6500000,0.3500000
2.9929067,5.7712437,5.0374804,3.2719639,0.6500000,0.3500000
3.0926703,5.8594072,4.9942822,3.2654375,0.6500000,0.3500000
3.1924338,5.9445809,4.9401341,3.2588981,0.6422889,0.3577111
3.2921974,6.0230563,4.8776714,3.2770378,0.6345777,0.3654223
3.3919609,6.0949447,4.8080557,3.3188562,0.6268666,0.3731334
3.4917245,6.1603575,4.7324484,3.3805825,0.6191555,0.3808445
3.5914880,6.2194060,4.6520109,3.4573673,0.6114444,0.3885556
3.6912516,6.2722016,4.5679048,3.5442314,0.6037332,0.3962668
