s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,3.9085640,3.3603845,4.4414624,0.1700000,1.4677278
0.0999907,3.9671252,3.4410813,4.5505361,0.2385131,1.3806816
0.1999813,4.0240409,3.5225584,4.6566337,0.3070262,1.2936353
0.2999720,4.0798281,3.6047176,4.7599556,0.3755394,1.2065890
0.3999627,4.1350041,3.6874607,4.8606806,0.4440525,1.1195427
0.4999533,4.1900858,3.7706897,4.9282664,0.5125656,1.0324964
0.5999440,4.2455904,3.8543061,4.6978641,0.5810787,0.9454501
0.6999347,4.3020351,3.9382120,4.4738966,0.6495918,0.8584039
0.7999253,4.3593374,4.0214230,4.2650656,0.7137174,0.7738239
0.8999160,4.4180785,4.1035104,4.0781684,0.7548085,0.7021924
0.9999067,4.4791720,4.1840898,3.9127271,0.7958996,0.6305609
1.0998973,4.5430848,4.2621066,3.7702075,0.8369906,0.5589294
1.1998880,4.6102835,4.3365061,3.6538414,0.8780817,0.4872979
1.2998787,4.6812350,4.4062334,3.5683851,0.9191728,0.4156663
1.3998693,4.7564059,4.4702341,3.5195217,0.9602638,0.3440348
1.4998600,4.8362631,4.5274533,3.5124856,1.0013549,0.2724033
1.5998507,4.9216323,4.5773069,3.5054355,1.0390097,0.2215023
1.6998414,5.0114692,4.6192523,3.5160778,1.0693623,0.2146536
1.7998320,5.1050101,4.6533205,3.5406191,1.0997149,0.2078049
1.8998227,5.2014939,4.6795447,3.5748541,1.1300675,0.2009562
1.9998134,5.3001596,4.6979579,3.6147996,1.1604201,0.1941075
2.0998040,5.4002463,4.7085931,3.6567955,1.1907727,0.1872587
2.1997947,5.5009928,4.7114833,3.6975166,1.2211253,0.1804100
2.2997854,5.6016833,4.7066577,3.7339481,1.2514779,0.1735613
2.3997760,5.7015994,4.6941387,3.7357337,1.2516470,0.1959904
2.4997667,5.8000094,4.6739597,3.6947466,1.2191171,0.2501371
2.5997574,5.8962325,4.6461540,3.6557146,1.1865873,0.3042838
2.6997480,5.9895877,4.6107547,3.6212179,1.1540575,0.3584305
2.7997387,6.0793941,4.5677950,3.5937650,1.1215276,0.4125772
2.8997294,6.1649708,4.5173080,3.5756182,1.0889978,0.4667239
2.9997200,6.2456369,4.4593269,3.5684701,1.0564680,0.5208706
3.0997107,6.3192334,4.3954993,3.5613075,1.0239382,0.5750173
3.1997014,6.3874867,4.3252654,3.5801682,0.9761831,0.6301447
3.2996920,6.4505776,4.2492470,3.6227758,0.9198638,0.6858239
3.3996827,6.5086099,4.1681265,3.6845073,0.8635444,0.7415031
3.4996734,6.5616873,4.0825868,3.7609487,0.8072251,0.7971823
3.5996640,6.6099135,3.9933105,3.8481554,0.7509058,0.8528615
3.6996547,6.6533922,3.9009802,3.9427126,0.6945865,0.9085407
3.7996454,6.6919840,3.8069123,4.0416876,0.6382672,0.9642199
3.8996360,6.7254579,3.7128232,4.1396195,0.5819479,1.0198991
3.9996267,6.7545412,3.6172320,4.2277869,0.5553795,1.0456652
4.0996174,6.7791949,3.5203560,4.3072175,0.5362488,1.0639530
4.1996080,6.7993801,3.4224124,4.3786786,0.5171181,1.0822408
4.2995987,6.8150579,3.3236184,4.4427428,0.4979874,1.1005286
4.3995894,6.8261894,3.2241913,4.4998383,0.4788567,1.1188165
4.4995801,6.8327356,3.1243484,4.5502890,0.4597260,1.1371043
4.5995707,6.8346595,3.0243953,4.5943474,0.4405953,1.1553921
4.6995614,6.8320065,2.9245893,4.6351352,0.4214646,1.1736799
4.7995521,6.8249061,2.8249527,4.6777193,0.4242662,1.1530879
4.8995427,6.8134888,2.7256544,4.7218371,0.4279817,1.1308760
4.9995334,6.7978849,2.6268629,4.7671515,0.4316972,1.1086640
5.0995241,6.7782247,2.5287470,4.8132710,0.4354127,1.0864520
5.1995147,6.7546386,2.4314756,4.8597651,0.4391282,1.0642401
5.2995054,6.7272569,2.3352172,4.9061752,0.4428437,1.0420281
5.3994961,6.6961736,2.2400349,4.9520226,0.4465592,1.0198162
5.4994867,6.6615018,2.1460456,4.9975028,0.4536762,0.9938868
5.5994774,6.6234095,2.0534549,5.0433032,0.4857374,0.9406963
5.6994681,6.5820279,1.9623452,5.0893653,0.5177986,0.8875058
5.7994587,6.5374882,1.8727988,5.1355750,0.5498598,0.8343153
5.8994494,6.4899216,1.7848980,5.1817734,0.5819210,0.7811249
5.9994401,6.4394592,1.6987252,5.2277649,0.6139822,0.7279344
6.0994307,6.3862322,1.6143625,5.2733243,0.6460434,0.6747439
6.1994214,6.3300756,1.5314687,5.3182017,0.6781045,0.6215534
6.2994121,6.2711542,1.4502303,5.3628611,0.7158201,0.5757614
6.3994027,6.2097938,1.3709860,5.4078446,0.7680755,0.5489941
6.4993934,6.1461116,1.2937561,5.4531625,0.8203309,0.5222268
6.5993841,6.0802254,1.2185609,5.4987831,0.8725863,0.4954594
6.6993747,6.0122525,1.1454206,5.5446402,0.9248417,0.4686921
6.7993654,5.9423104,1.0743554,5.5906377,0.9770971,0.4419248
6.8993561,5.8705167,1.0053857,5.6366550,1.0293525,0.4151574
6.9993467,5.7963111,0.9379315,5.6825505,1.0816079,0.3883901
7.0993374,5.7202149,0.8724394,5.7284845,1.1068215,0.3811325
7.1993281,5.6425318,0.8090941,5.7746117,1.0976182,0.3987053
7.2993188,5.5633530,0.7478812,5.8209794,1.0884148,0.4162782
7.3993094,5.4827695,0.6887865,5.8676056,1.0792115,0.4338511
7.4993001,5.4008723,0.6317958,5.9144828,1.0700082,0.4514240
7.5992908,5.3177525,0.5768946,5.9615814,1.0608049,0.4689968
7.6992814,5.2334681,0.5240487,6.0088530,1.0516016,0.4865697
7.7992721,5.1470324,0.4726196,6.0562526,1.0423983,0.5041426
7.8992628,5.0596024,0.4232662,6.1044458,1.0133091,0.5332947
7.9992534,4.9712526,0.3759486,6.1534725,0.9709627,0.5701664
8.0992441,4.8820574,0.3306270,6.2033516,0.9286163,0.6070381
8.1992348,4.7920916,0.2872616,6.2540841,0.8862698,0.6439098
8.2992254,4.7014295,0.2458124,6.3056560,0.8439234,0.6807815
8.3992161,4.6101459,0.2062397,6.3580411,0.8015770,0.7176532
8.4992068,4.5177826,0.1682908,6.4112024,0.7592306,0.7545249
8.5991974,4.4241342,0.1318541,6.4650690,0.7168841,0.7913966
8.6991881,4.3300208,0.0972047,6.5196892,0.6830588,0.8232327
8.7991788,4.2354794,0.0642868,6.5751929,0.6519242,0.8534786
8.8991694,4.1405470,0.0330450,6.6316911,0.6207897,0.8837245
8.9991601,4.0452609,0.0034237,6.6892782,0.5896552,0.9139704
9.0991508,3.9496581,-0.0246327,6.7480344,0.5585207,0.9442163
9.1991414,3.8537757,-0.0511797,6.8080278,0.5273862,0.9744622
9.2991321,3.7567764,-0.0764903,6.8693164,0.4962516,1.0047081
9.3991228,3.6594349,-0.1003783,6.9299349,0.4651171,1.0349540
9.4991134,3.5618783,-0.1228415,6.9897519,0.4460155,1.0539947
9.5991041,3.4641215,-0.1439073,7.0488958,0.4279603,1.0720611
9.6990948,3.3661795,-0.1636036,7.1074830,0.4099050,1.0901276
9.7990854,3.2680672,-0.1819581,7.1656192,0.3918497,1.1081940
9.8990761,3.1697994,-0.1989985,7.2234003,0.3737945,1.1262604
9.9990668,3.0712210,-0.2147789,7.2809128,0.3557392,1.1443268
10.0990575,2.9722959,-0.2293393,7.2724976,0.3376839,1.1623932
10.1990481,2.8732365,-0.2426990,7.1803365,0.3201439,1.1799203
10.2990388,2.7740419,-0.2549134,7.0811357,0.3085284,1.1912444
10.3990295,2.6747115,-0.2660380,6.9746325,0.2969130,1.2025685
10.4990201,2.5752444,-0.2761284,6.8605625,0.2852976,1.2138927
10.5990108,2.4756400,-0.2852401,6.7386556,0.2736822,1.2252168
10.6990015,2.3759005,-0.2934283,6.6086267,0.2620667,1.2365409
10.7989921,2.2761242,-0.3007210,6.4721637,0.2504513,1.2478651
10.8989828,2.1762475,-0.3070828,6.3344028,0.2388359,1.2591892
10.9989735,2.0763074,-0.3124523,6.1950313,0.2281712,1.2689591
11.0989641,1.9763410,-0.3167681,6.0537025,0.2205171,1.2738071
11.1989548,1.8763851,-0.3199690,5.9100278,0.2128630,1.2786551
11.2989455,1.7764770,-0.3219936,5.7635669,0.2052089,1.2835031
11.3989361,1.6766535,-0.3227805,5.6138158,0.1975548,1.2883511
11.4989268,1.5768794,-0.3222573,5.4694110,0.1899007,1.2931992
11.5989175,1.4771851,-0.3202036,5.3354307,0.1822466,1.2980472
11.6989081,1.3775979,-0.3162912,5.2111693,0.1745925,1.3028952
11.7988988,1.2780999,-0.3101891,5.0958435,0.1722449,1.3015252
